,Match_No,Date,year,month,Month_name,day,DayOfWeek,Week_Type,Match,Team_1,Team_2,Location,Result,Winning_Team,Winning_mode,Winning_Margin,Team_Batting_First
13,14,2019-02-04,2019,2,February,Monday,0,Weekday,14th Match: Rajasthan Royals v Royal Challengers Bangalore, Rajasthan Royals , Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 7 Wickets,Rajasthan Royals ,Wickets,7, Royal Challengers Bangalore
14,15,2019-03-04,2019,3,March,Monday,0,Weekday,15th Match: Mumbai Indians v Chennai Super Kings, Mumbai Indians , Chennai Super Kings,Mumbai,Mumbai Indians won by 37 Runs,Mumbai Indians ,Runs,37, Chennai Super Kings
15,16,2019-04-04,2019,4,April,Thursday,3,Weekday,16th Match: Delhi Capitals v Sunrisers Hyderabad, Delhi Capitals , Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 5 Wickets,Sunrisers Hyderabad ,Wickets,5, Sunrisers Hyderabad
16,17,2019-05-04,2019,5,May,Saturday,5,Weekend,17th Match: Royal Challengers Bangalore v Kolkata Knight Riders, Royal Challengers Bangalore , Kolkata Knight Riders,"Bengaluru, Bangalore",Kolkata Knight Riders won by 5 Wickets,Kolkata Knight Riders ,Wickets,5, Kolkata Knight Riders
17,18,2019-06-04,2019,6,June,Tuesday,1,Weekday,18th Match: Chennai Super Kings v Kings XI Punjab, Chennai Super Kings , Kings XI Punjab,Chennai,Chennai Super Kings won by 22 Runs,Chennai Super Kings ,Runs,22, Kings XI Punjab
18,19,2019-06-04,2019,6,June,Tuesday,1,Weekday,19th Match: Sunrisers Hyderabad v Mumbai Indians, Sunrisers Hyderabad , Mumbai Indians,Hyderabad,Mumbai Indians won by 40 Runs,Mumbai Indians ,Runs,40, Mumbai Indians
19,20,2019-07-04,2019,7,July,Thursday,3,Weekday,20th Match: Royal Challengers Bangalore v Delhi Capitals, Royal Challengers Bangalore , Delhi Capitals,"Bengaluru, Bangalore",Delhi Capitals won by 4 Wickets,Delhi Capitals ,Wickets,4, Delhi Capitals
20,21,2019-07-04,2019,7,July,Thursday,3,Weekday,21st Match: Rajasthan Royals v Kolkata Knight Riders, Rajasthan Royals , Kolkata Knight Riders,Jaipur,Kolkata Knight Riders won by 8 Wickets,Kolkata Knight Riders ,Wickets,8, Kolkata Knight Riders
21,22,2019-08-04,2019,8,August,Sunday,6,Weekend,22nd Match: Kings XI Punjab v Sunrisers Hyderabad, Kings XI Punjab , Sunrisers Hyderabad,"Mohali, Chandigarh",Kings XI Punjab won by 6 Wickets,Kings XI Punjab ,Wickets,6, Sunrisers Hyderabad
22,23,2019-09-04,2019,9,September,Wednesday,2,Weekday,23rd Match: Chennai Super Kings v Kolkata Knight Riders, Chennai Super Kings , Kolkata Knight Riders,Chennai,Chennai Super Kings won by 7 Wickets,Chennai Super Kings ,Wickets,7, Kolkata Knight Riders
